iso,country_en,country_fr,oda_usd,non_oda_usd,total_usd,type,country_profile
AFG,Afghanistan,Afghanistan,22137090.00,1560934016.94,1583071106.94,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/afghanistan.html
AGO,Angola,Angola,590588658.29,1387608988.05,1978197646.34,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/angola.html
ALB,Albania,Albanie,814917367.08,53334838.69,868252205.77,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/albanie.html
ARE,United Arab Emirates,Émirats Arabes Unis,0.00,1987000000.00,1987000000.00,encours,
ARG,Argentina,Argentine,246046680.19,1098830615.63,1344877295.82,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/argentine.html
ARM,Armenia,Arménie,699000000.00,85000000.00,784000000.00,encours,
ATG,Antigua and Barbuda,Antigua-et-Barbuda,3800000.00,143588165.85,147388165.85,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/antigua-et-barbuda.html
AZE,Azerbaijan,Azerbaïdjan,779000000.00,88000000.00,867000000.00,encours,
BEN,Benin,Bénin,340808881.87,412148026.87,752956908.74,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/benin.html
BFA,Burkina Faso,Burkina Faso,334749590.81,51552890.70,386302481.51,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/burkina-faso.html
BGD,Bangladesh,Bangladesh,13689000000.00,9323000000.00,23012000000.00,encours,
BGR,Bulgaria,Bulgarie,56364138.06,0.00,56364138.06,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/bulgarie.html
BHR,Bahrain,Bahreïn,0.00,23000000.00,23000000.00,encours,
BIH,Bosnia and Herzegovina,Bosnie-Herzégovine,189370330.56,216060431.82,405430762.38,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/bosnie-herzegovine.html
BLR,Belarus,Biélorussie,7000000.00,8929000000.00,8936000000.00,encours,
BOL,Bolivia,Bolivie,849258924.09,2317639.00,851576563.09,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/bolivie.html
BRB,Barbados,Barbade,26000000.00,0.00,26000000.00,encours,
BWA,Botswana,Botswana,117000000.00,0.00,117000000.00,encours,
CAF,Central African Republic,Centrafrique,0.00,1018273.13,1018273.13,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/centrafrique.html
CHL,Chile,Chili,34639869.00,9438029.46,44077898.46,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/chili.html
CHN,China,Chine,7471000000.00,494000000.00,7965000000.00,encours,
CIV,Côte d'Ivoire,Côte d'Ivoire,1643767172.78,744528403.52,2388295576.30,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/cote-d-ivoire.html
CMR,Cameroon,Cameroun,1286724645.32,105072843.93,1391797489.25,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/cameroun.html
COD,Democratic Republic of the Congo,RD Congo,57324432.02,0.00,57324432.02,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/rd-congo.html
COG,Congo,Congo,222768402.27,278956498.34,501724900.61,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/congo.html
COL,Colombia,Colombie,4307000000.00,85000000.00,4392000000.00,encours,
COM,Comoros,Comores,0.00,2070337.42,2070337.42,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/comores.html
CPV,Cabo Verde,Cap-Vert,121036804.56,49675364.87,170712169.43,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/cap-vert.html
CRI,Costa Rica,Costa Rica,521081583.81,40163405.61,561244989.42,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/costa-rica.html
CUB,Cuba,Cuba,253000000.00,4371000000.00,4624000000.00,encours,
CZE,Czech Republic,Rép. Tchèque,0.00,17000000.00,17000000.00,encours,
DJI,Djibouti,Djibouti,63286599.79,3109499.20,66396098.99,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/djibouti.html
DMA,Dominica,Dominique,8749825.82,1010000.00,9759825.82,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/dominique.html
